x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
571473923,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
573636613,1,0,0,0,1,0,0,0,0,0,3,16,16,0,3,0,0,0,0,x,x,x,x,x,x,x,x
33562656,1,0,0,0,1,0,0,0,0,0,5,17,17,0,5,1,0,0,0,3,0,16,0,0,x,x,x
35661856,1,0,0,0,0,1,2,0,0,0,8224,16,0,4,32,1,0,0,0,5,0,17,1,0,x,3,16
201326599,1,0,0,0,0,1,2,0,0,0,10272,17,0,5,32,1,0,0,0,3,0,4,1,0,x,5,17
0,1,0,0,0,0,1,0,5,0,0,7,0,0,31,7,1,0,0,0,5,0,5,1,0,x,3,4
577961986,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,31,1,0,x,5,5
582287361,1,0,0,0,1,0,0,0,0,0,2,19,19,0,2,1,0,0,0,0,0,0,1,0,x,5,31
65011720,1,0,0,0,1,0,0,0,0,0,1,21,21,0,1,1,0,0,0,2,0,19,1,0,x,0,0
0,0,0,0,0,0,0,0,5,0,0,8,31,0,0,8,1,0,0,0,1,0,21,1,0,x,2,19
4231200,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,x,1,21
134217738,1,0,0,0,0,1,2,0,0,0,4294938656,2,0,18,32,1,0,0,0,0,0,0,0,0,x,5,0
0,0,x,0,0,x,x,X,0,0,0,10,0,0,0,10,1,0,0,0,0,0,18,1,0,x,0,0
x,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,1,0,x,0,18
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,1,0,0,0,0,0,0,0,x,x,0,0
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,1,0,x,0,0
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
x,0,0,0,0,0,0,0,x,x,x,0,x,x,x,x,0,0,0,0,x,x,x,0,0,x,x,x
